Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Diploderma micangshanensis,Japalura_micangshanensis,Oviparous,3,0.98,-0.01,31%,10.9,7952.5
Diploglossus bilobatus,Diploglossus_bilobatus,Oviparous,10.5,0.67,-0.73,42%,23.13,428.4
Diporiphora amphiboluroides,Diporiphora_amphiboluroides,Oviparous,12,1.35,0.22,89%,21.78,5925.4
Diporiphora arnhemica,Diporiphora_arnhemica,Oviparous,4.3,0.65,-0.24,55%,26.84,2803.8
Diporiphora australis,Diporiphora_australis,Oviparous,4.5,0.71,-0.29,45%,22.24,3340.2
Diporiphora bennettii,Diporiphora_bennettii,Oviparous,4.3,0.66,-0.46,33%,26.89,2830.6
Diporiphora nobbi,Diporiphora_nobbi,Oviparous,6,1.00,-0.22,37%,18.99,4817.2
Diporiphora paraconvergens,Diporiphora_paraconvergens,Oviparous,3,0.75,-0.03,49%,23.96,5702.2
Diporiphora superba,Diporiphora_superba,Oviparous,6.5,1.18,-0.29,22%,26.99,2250.4
Diporiphora winneckei,Diporiphora_winneckei,Oviparous,3,0.83,-0.58,12%,22.93,5786.9
Dipsadoboa aulica,"Spawls_et_al_2004,_Marais_2004",Oviparous,8,1.54,0.18,35%,22.5483,294.128
Dipsas catesbyi,Dipsas_catesbyi,Oviparous,2.92,1.63,0.72,36%,24.6549,72.0241
Dipsas mikanii,Sibynomorphus_mikanii,Oviparous,5.7,1.49,0.30,37%,24.42007,149.1601
Dipsosaurus dorsalis,Dipsosaurus_dorsalis,Oviparous,4.5,1.82,0.63,29%,19.4,6709.9
Dopasia harti,Dopasia_harti,Oviparous,6,1.51,0.31,38%,15.97,6124.8
Dracaena guianensis,Dracaena_guianensis,Oviparous,8.5,3.06,1.60,30%,25.85,517.5
Draco beccarii,Draco_beccarii,Oviparous,2.889444444,0.58,-0.41,29%,23.9,424.9
Draco boschmai,Draco_boschmai,Oviparous,3.5,0.66,-0.37,33%,24.21,620.4
Draco cyanopterus,Draco_cyanopterus,Oviparous,3.8,0.87,-0.57,14%,25.02,458.2
Draco maculatus,Draco_maculatus,Oviparous,3.6,0.59,-0.68,19%,22.43,2919.2
Draco quinquefasciatus,Draco_quinquefasciatus,Oviparous,3.35,0.96,-0.39,15%,24.98,360.4
Draco spilonotus,Draco_spilonotus,Oviparous,2.5,0.54,-0.37,31%,24.78,212.4
Draco spilopterus,Draco_spilopterus,Oviparous,4.5,0.81,-0.45,25%,25.78,1063.7
Draco volans,Draco_volans,Oviparous,4.5,0.69,-0.55,26%,24.9,422.2
Drepanoides anomalus,Drepanoides_anomalus,Oviparous,2.3,1.73,0.42,11%,24.81336,62.24834
Dryadosaura nordestina,Dryadosaura_nordestina,Oviparous,2.5,0.24,-0.99,15%,23.75,1162.4
Drymarchon couperi,Drymarchon_couperi,Oviparous,9,2.83,1.33,29%,20.37696,517.764
Drymarchon melanurus,Drymarchon_melanurus,Oviparous,9.5,2.67,1.40,51%,23.43997,227.2556
Drymobius margaritiferus,Drymobius_margaritiferus,Oviparous,5,1.47,0.37,40%,24.23,159.9053
Drymoluber dichrous,Drymoluber_dichrous,Oviparous,4,1.96,-0.43,2%,24.28524,77.08567
Echinanthera undulata,Echinanthera_undulata,Oviparous,6,1.49,0.41,50%,19.54,229.0344
Echis coloratus,Echis_coloratus,Oviparous,7,2.25,0.81,26%,25.58538,557.6954
Eirenis collaris,Eirenis_collaris,Oviparous,6,0.77,-0.27,54%,15.71213,903.7167
Eirenis punctatolineatus,Mahlow_et_al_2013,Oviparous,4.5,0.85,-0.32,31%,12.91303,925.7354
Elaphe climacophora,Elaphe_climacophora,Oviparous,8.05,2.73,1.31,31%,10.81,817.4926
Elgaria kingii,Elgaria_kingii,Oviparous,12,1.00,-0.48,40%,15.65,5603.5
Elgaria multicarinata,Elgaria_multicarinata,Oviparous,10.9,1.47,-0.58,10%,13.21,5355.9
Elgaria paucicarinata,Elgaria_paucicarinata,Oviparous,7,1.05,-0.19,40%,22.4,3280.7
Emoia atrocostata,Emoia_atrocostata,Oviparous,1.95,1.06,-0.38,7%,25.22,542.6
Emoia concolor,Emoia_concolor,Oviparous,2,0.77,-0.50,11%,24.39,1146.6
Emoia nigra,Emoia_nigra,Oviparous,2.61,1.37,-0.14,8%,25.24,647.8
Emoia samoensis,Emoia_samoensis,Oviparous,5.3,1.31,-0.31,13%,25.45,375
Emoia sanfordi,Emoia_sanfordi,Oviparous,5,1.33,-0.40,9%,24.23,995.7
Emoia trossula,Emoia_trossula,Oviparous,3.5,1.18,-0.22,14%,24.27,1125
Enyalioides cofanorum,Enyalioides_cofanorum,Oviparous,3,1.51,0.64,40%,25.43,462.9
Enyalioides laticeps,Enyalioides_laticeps,Oviparous,6.25,1.64,0.26,26%,24.43,506.8
Enyalius catenatus,Enyalius_catenatus,Oviparous,10,1.37,-0.01,42%,23.06,1263.4
Enyalius iheringii,Enyalius_iheringii,Oviparous,13.65,1.57,-0.42,14%,18.49,2643.8
Enyalius perditus,Enyalius_perditus,Oviparous,8.65,1.14,-0.31,30%,20.28,2023.3
Epibator nigrofasciolatum,Lioscincus_nigrofasciolatum,Oviparous,7.5,1.23,-0.26,24%,22.05,214.4403
Eremias argus,Eremias_argus,Oviparous,3.25,0.64,-0.30,38%,4.45,12364.2
Eremias arguta,Eremias_arguta,Oviparous,3.75,0.94,-0.18,28%,6.49,11592.2
Eremias grammica,Eremias_grammica,Oviparous,3.5,0.67,-0.39,30%,10.03,11500.8
Eremias intermedia,Eremias_intermedia,Oviparous,2,0.52,-0.27,32%,11.45,11309.2
Eremias lineolata,Eremias_lineolata,Oviparous,2,0.25,-0.44,41%,12.92,10469.5
Eremias nikolskii,Eremias_nikolskii,Oviparous,3.5,0.81,-0.44,20%,5.26,8304.7
Eremias persica,Eremias_persica,Oviparous,5,1.17,-0.12,25%,15.83,8904.8
Eremias strauchi,Eremias_strauchi,Oviparous,8,0.76,-0.25,77%,11.1,8797.1
Eremias velox,Eremias_velox,Oviparous,4,0.90,-0.27,27%,9.47,10823.2
Eremiascincus fasciolatus,Eremiascincus_fasciolatus,Oviparous,3.9,0.81,-0.18,40%,20.01,4081.1
Eremiascincus isolepis,Eremiascincus_isolepis,Oviparous,4.985,0.58,-0.40,52%,26.05,3475.1
Eremiascincus pardalis,Eremiascincus_pardalis,Oviparous,4.4,0.78,-0.58,19%,25.33,1752.6
Eremiascincus phantasmus,Eremiascincus_phantasmus,Oviparous,3.3,1.14,-0.18,16%,21.88,6602.9
Eremiascincus richardsonii,Eremiascincus_richardsonii,Oviparous,5,1.13,-0.24,21%,21.81,5472.8
Erythrolamprus aesculapii,Erythrolamprus_aesculapii,Oviparous,4.5,2.16,0.76,18%,23.41,103.6004
Erythrolamprus jaegeri,Erythrolamprus_jaegeri,Oviparous,8,1.31,0.06,46%,21.06,272.0788
Erythrolamprus mossoroensis,Erythrolamprus_mossoroensis,Oviparous,6.2,1.64,0.61,57%,25.4907,126.4172
Erythrolamprus poecilogyrus,Erythrolamprus_poecilogyrus,Oviparous,7.38,1.92,0.40,22%,22.47632,172.892
Erythrolamprus reginae,Erythrolamprus_reginae,Oviparous,4.5,1.56,0.89,95%,23.64796,106.4959
Erythrolamprus typhlus,Erythrolamprus_typhlus,Oviparous,5,1.98,0.66,23%,24.51053,95.97694
Eugongylus albofasciolatus,Eugongylus_albofasciolatus,Oviparous,3.5,1.57,0.13,13%,25.54,373.1
Eugongylus rufescens,Eugongylus_rufescens,Oviparous,3.3,1.62,0.21,13%,24.62,459.3
Eumeces schneideri,Eumeces_schneideri,Oviparous,11,1.78,0.47,54%,15.82,836.2727
Eutropis beddomei,Eutropis_beddomii,Oviparous,2.5,-0.08,-0.79,49%,25.64,1686.1
Eutropis indeprensa,Eutropis_indeprensa,Oviparous,2.5,0.52,-0.69,15%,25.64,732.8
Eutropis longicaudata,Eutropis_longicaudata,Oviparous,6.675,1.43,0.09,30%,22.54,2558.7
Eutropis macularia,Eutropis_macularia,Oviparous,2.15,0.62,-0.76,9%,24.82,3419
Eutropis multicarinata,Eutropis_multicarinata,Oviparous,2.415,0.81,-0.38,16%,25.65,805.2
Farancia abacura,Farancia_abacura,Oviparous,28.5,2.65,0.63,27%,17.47,661.9488
Farancia erytrogramma,Farancia_erytrogramma,Oviparous,32.3,2.39,0.63,57%,17.61,647.458
Furcifer campani,Furcifer_campani,Oviparous,15,0.61,-0.73,67%,17.09,2387.7
Furcifer labordi,Furcifer_labordi,Oviparous,9,0.98,-0.36,41%,25.08,2010.7
Furcifer oustaleti,Furcifer_oustaleti,Oviparous,42,1.98,0.12,57%,22.68,2011.3
Furcifer pardalis,Furcifer_pardalis,Oviparous,30,1.39,-0.14,89%,22.6,1686.3
Furcifer verrucosus,Furcifer_verrucosus,Oviparous,34.5,1.44,-0.16,87%,23.72,2103.4
Furina diadema,Furina_diadema,Oviparous,3.1,0.99,0.09,39%,17.79,517.5097
Furina ornata,Furina_ornata,Oviparous,4.3,1.34,0.22,32%,23.5,487.9523
Gallotia atlantica,Gallotia_atlantica,Oviparous,2.2,0.73,-0.18,27%,19.28,1972
Gallotia bravoana,Gallotia_bravoana,Oviparous,5,1.57,0.31,27%,18.07,2064.4
Gallotia caesaris,Gallotia_caesaris,Oviparous,3.15,0.96,-0.05,31%,18.77,2016.9
Gallotia galloti,Gallotia_galloti,Oviparous,4.095,1.19,0.10,33%,17.34,2107.9
Gallotia intermedia,Gallotia_intermedia,Oviparous,7.4,1.76,0.48,39%,17.53,2090
Gallotia simonyi,Gallotia_simonyi,Oviparous,10.15,1.96,0.50,35%,18.23,1979.8
Gallotia stehlini,Gallotia_stehlini,Oviparous,10.05,2.15,0.29,14%,18.72,2013
Gambelia sila,Gambelia_sila,Oviparous,3.15,1.59,1.07,94%,15.37,5705.2
Geophis brachycephalus,Geophis_brachycephalus,Oviparous,4.2,1.22,-0.08,21%,21.4188,44.59627
Gerrhonotus infernalis,Gerrhonotus_infernalis,Oviparous,18.8,1.56,-0.33,24%,19.07,5204.8
Gerrhonotus parvus,Gerrhonotus_parvus,Oviparous,7,0.77,-0.41,46%,17.18,4165.1
Gerrhosaurus flavigularis,Gerrhosaurus_flavigularis,Oviparous,4.5,1.75,0.37,19%,20.54,2939.5
Gerrhosaurus skoogi,Gerrhosaurus_skoogi,Oviparous,2,1.88,0.70,13%,19.01,1813.6
Gonocephalus bellii,Gonocephalus_bellii,Oviparous,4,1.69,0.03,9%,25.27,626.4
Gonocephalus bornensis,Gonocephalus_bornensis,Oviparous,4,1.65,0.15,12%,24.74,301.7
Gonocephalus chamaeleontinus,Gonocephalus_chamaeleontinus,Oviparous,4,1.77,-0.01,7%,24.54,338.1
Gonocephalus grandis,Gonocephalus_grandis,Oviparous,3.585,1.78,0.05,7%,25.05,345.7
Gonocephalus kuhlii,Gonocephalus_kuhlii,Oviparous,4,2.01,-0.10,3%,23.02,319
Gonocephalus liogaster,Gonocephalus_liogaster,Oviparous,3.1,1.69,0.05,7%,24.64,357
Gonocephalus sophiae,Gonocephalus_sophiae,Oviparous,3.09,1.58,0.05,9%,25.62,793.4
Gowidon longirostris,Lophognathus_longirostris,Oviparous,4.7,1.41,-0.17,12%,22.92,5793.3
Gowidon temporalis,Lophognathus_temporalis,Oviparous,4.5,1.30,0.18,34%,27.03,203.187
Gymnophthalmus speciosus,Gymnophthalmus_speciosus,Oviparous,1.915,0.14,-1.07,12%,25.19,701.2
Gymnophthalmus underwoodi,Gymnophthalmus_underwoodi,Oviparous,1.965,0.04,-1.07,15%,25.45,733.2
Heliobolus lugubris,Heliobolus_lugubris,Oviparous,3.63,0.68,-0.67,16%,20.56,3772.5
Heliobolus neumanni,Heliobolus_neumanni,Oviparous,2.5,0.47,-0.42,32%,22.28,1128.6
Heliobolus spekii,Heliobolus_spekii,Oviparous,5,0.32,-0.52,71%,24.28,1263.3
Hellenolacerta graeca,Hellenolacerta_graeca,Oviparous,3.5,1.03,-0.25,18%,15.33,6389.2
Heloderma horridum,Heloderma_horridum,Oviparous,8,3.00,1.49,25%,23,2405.5
Heloderma suspectum,Heloderma_suspectum,Oviparous,5.35,2.73,1.66,45%,18.61,7106.1
Hemorrhois hippocrepis,Hemorrhois_hippocrepis,Oviparous,8,1.98,0.62,34%,15.48,606.3045
Heterodon nasicus,Heterodon_nasicus,Oviparous,10.5,1.70,0.39,52%,9.22,961.2763
Heterodon simus,Heterodon_simus,Oviparous,9.6,1.38,0.20,64%,18.6,606.1386
Holbrookia elegans,Holbrookia_elegans,Oviparous,5,0.78,-0.11,64%,21.39,5263.7
Holbrookia maculata,Holbrookia_maculata,Oviparous,7.15,0.79,-0.32,57%,14.43,7438.7
Holbrookia propinqua,Holbrookia_propinqua,Oviparous,3.7,0.73,-0.04,62%,21.73,5631.2
Holcosus festivus,Holcosus_festivus,Oviparous,2.75,1.30,0.13,19%,24.71,674.2
Holcosus quadrilineatus,Holcosus_quadrilineatus,Oviparous,2.05,0.97,-0.11,17%,24.42,522.6
Holcosus undulatus,Holcosus_undulatus,Oviparous,4.3,1.36,0.04,21%,22.97,1613.2
Hydrosaurus pustulatus,Hydrosaurus_pustulatus,Oviparous,7.5,2.91,1.15,13%,25.69,1019
Hypsiglena torquata,Hypsiglena_torquata,Oviparous,3.2,1.31,0.29,31%,23.83,204.6503
Hypsirhynchus parvifrons,Hypsirhynchus_parvifrons,Oviparous,8.5,1.48,0.40,70%,24.08,133.0014
Iberolacerta aranica,Iberolacerta_aranica,Oviparous,2.985,0.64,-0.40,27%,4.7,5788.3
Iberolacerta aurelioi,Iberolacerta_aurelioi,Oviparous,2.515,0.59,-0.27,35%,4.8,5786.2
Iberolacerta bonnali,Iberolacerta_bonnali,Oviparous,3.03,0.61,-0.45,26%,4.28,5659.9
Iberolacerta cyreni,Iberolacerta_cyreni,Oviparous,6.3,0.97,-0.34,31%,10.44,6583.6
Iberolacerta horvathi,Iberolacerta_horvathi,Oviparous,3.505,0.63,-0.43,31%,8.41,6915.6
Iberolacerta martinezricai,Iberolacerta_martinezricai,Oviparous,4,0.71,-0.43,29%,12.27,6126.9
Iberolacerta monticola,Iberolacerta_monticola,Oviparous,6.3,0.83,-0.46,32%,10.18,4736.9
Ichnotropis capensis,Ichnotropis_capensis,Oviparous,6.135,0.57,-0.70,33%,21.22,2606.3
Iguana delicatissima,Iguana_delicatissima,Oviparous,17,3.27,1.27,17%,25.19,971.9
Iguana iguana,Iguana_iguana,Oviparous,28.8,3.11,1.32,46%,24.03,893.7
Imantodes cenchoa,Imantodes_cenchoa,Oviparous,2.65,1.86,0.96,34%,23.77706,109.7581
Intellagama lesueurii,Intellagama_lesueurii,Oviparous,9.68,2.52,0.51,9%,17.54,4261.9
Japalura kumaonensis,Japalura_kumaonensis,Oviparous,11.5,0.90,-0.76,25%,10.58,6594.6
Japalura splendida,Japalura_splendida,Oviparous,6.165,1.09,-0.32,24%,12.38,685.2092
Japalura swinhonis,Japalura_swinhonis,Oviparous,3.95,1.00,-0.58,10%,19.74,426.3748
Kentropyx altamazonica,Kentropyx_altamazonica,Oviparous,6.165,1.28,-0.07,27%,23.82,611.5
Kentropyx calcarata,Kentropyx_calcarata,Oviparous,4.85,1.35,0.00,21%,25.25,799.9
Kentropyx pelviceps,Kentropyx_pelviceps,Oviparous,4.525,1.50,0.15,20%,24.43,472.3
Kentropyx striata,Kentropyx_striata,Oviparous,4.055,1.21,-0.13,18%,25.72,708.6
Kinyongia matschiei,Kinyongia_matschiei,Oviparous,20,1.54,0.17,86%,23.52,1467.7
Lacerta agilis,Lacerta_agilis,Oviparous,8.4,1.03,-0.32,37%,3.62,10560.9
Lacerta media,Lacerta_media,Oviparous,11.2,1.52,-0.10,27%,10.81,8637
Lacerta pamphylica,Lacerta_pamphylica,Oviparous,6,1.28,-0.27,17%,14.44,7354.4
Lacerta schreiberi,Lacerta_schreiberi,Oviparous,12.35,1.49,-0.15,28%,12.8,5225.3
Lacerta strigata,Lacerta_strigata,Oviparous,10.17,1.34,-0.14,34%,10.12,8590.2
Lacerta trilineata,Lacerta_trilineata,Oviparous,10.385,1.49,0.25,60%,12.46,7259.1
Lacerta viridis,Lacerta_viridis,Oviparous,9.01,1.39,-0.08,30%,9.83,7830.3
Lachesis muta,"Campbell_and_Lamar_2004-1,_Starace_1998_(size_range,_zonation,_activity,_reproduction,_diet),_Martins_and_Oliviera_1998_(max_TL),_Boyer_et_al._1989_(hatchling_size),_",Oviparous,8.5,3.59,1.74,12%,24.71867,73.74434
Laemanctus longipes,Laemanctus_longipes,Oviparous,4,1.85,0.16,8%,24.56,1660.4
Lamprolepis smaragdina,Lamprolepis_smaragdina,Oviparous,2.05,1.17,-0.10,11%,25.06,676.3
Lampropeltis alterna,Lampropeltis_alterna,Oviparous,7.5,2.04,0.57,25%,18.83,600.9292
Lampropeltis calligaster,Lampropeltis_calligaster,Oviparous,10,2.07,0.46,25%,15.19,803.789
Lampropeltis getula,Lampropeltis_getula,Oviparous,10.5,2.21,0.63,27%,16.48,654.9036
Lampropeltis mexicana,Lampropeltis_mexicana,Oviparous,6.5,1.63,0.40,38%,17.60037,319.8251
Lampropeltis triangulum,Lampropeltis_triangulum,Oviparous,7.6,1.69,0.28,30%,10.42,892.6608
Lampropeltis zonata,Lampropeltis_zonata,Oviparous,7,1.69,0.61,58%,11.77,601.6005
Lampropholis coggeri,Lampropholis_coggeri,Oviparous,2.392307692,-0.07,-1.15,20%,22.75,2582.6
Lampropholis delicata,Lampropholis_delicata,Oviparous,3.35,0.05,-1.07,25%,17,3811.1
Lampropholis elongata,Lampropholis_elongata,Oviparous,3.7,0.31,-0.92,21%,13.63,4054.1
Lampropholis guichenoti,Lampropholis_guichenoti,Oviparous,2.8,0.06,-0.89,31%,14.55,4287.3
Latastia longicaudata,Latastia_longicaudata,Oviparous,6.8,1.16,-0.08,39%,25.49,3046.9
Laticauda colubrina,Laticauda_colubrina,Oviparous,6,2.72,0.77,7%,NA,NA
Laudakia nupta,Laudakia_nupta,Oviparous,10,1.97,0.51,34%,16.87,8725.5
Laudakia tuberculata,Laudakia_tuberculata,Oviparous,9.4,1.69,-0.08,16%,6.99,7165.6
Leiocephalus carinatus,Leiocephalus_carinatus,Oviparous,4.05,1.32,-0.07,17%,24.97,1760.6
Leiocephalus macropus,Leiocephalus_macropus,Oviparous,2.375,0.64,-0.24,31%,24.91,1622
Leiocephalus psammodromus,Leiocephalus_psammodromus,Oviparous,1.715,1.05,-0.13,11%,26,1496.8
Leiocephalus schreibersii,Leiocephalus_schreibersii,Oviparous,2.47,0.73,-0.27,25%,23.88,1387.8
Leiocephalus semilineatus,Leiocephalus_semilineatus,Oviparous,1.78,0.24,-0.50,33%,23.78,1290.6
Leiolepis belliana,Leiolepis_belliana,Oviparous,4.65,1.35,0.29,40%,25.51,1454.1
Leiolepis reevesii,Leiolepis_reevesii,Oviparous,3.583333333,1.59,0.22,15%,22.35,4036.5
Leiolopisma telfairii,Leiolopisma_telfairii,Oviparous,11.5,1.90,0.15,20%,22.84,1817.8
Lepidothyris fernandi,Lepidothyris_fernandi,Oviparous,10,1.43,-0.36,16%,24.41,910.4
Leposternon infraorbitale,Amphisbaena_infraorbitale,Oviparous,4,2.03,1.03,40%,22,190.8221
Leposternon microcephalum,Amphisbaena_microcephalum,Oviparous,5,1.78,-0.76,1%,21.55201,359.4383
Leposternon polystegum,Amphisbaena_polystegum,Oviparous,6,1.14,0.23,74%,25.29103,93.5727
Leptodeira nigrofasciata,Leptodeira_nigrofasciata,Oviparous,7.5,1.03,0.13,95%,25.2249,78.7445
Leptodeira septentrionalis,Leptodeira_septentrionalis,Oviparous,8.4,1.65,0.61,77%,23.37,138.8579
Leptophis ahaetulla,Leptophis_ahaetulla,Oviparous,5,2.06,0.50,14%,23.81442,124.514
Leptophis depressirostris,Leptophis_depressirostris,Oviparous,3.5,1.79,0.25,10%,23.48921,49.18969
Leptophis mexicanus,Leptophis_mexicanus,Oviparous,4,1.74,0.58,28%,24.42929,142.7863
Leptosiaphos kilimensis,Leptosiaphos_kilimensis,Oviparous,3,0.21,-0.56,51%,22.07,1000.5
Leptotyphlops conjunctus,Leptotyphlops_conjunctus,Oviparous,2.6,-0.02,-0.82,41%,18.28,394.849
Lerista bipes,Lerista_bipes,Oviparous,2.15,0.05,-0.77,32%,24.04,5234.6
Lerista cinerea,Lerista_cinerea,Oviparous,2.4,0.32,-0.52,34%,22.63,3528.6
Lerista connivens,Lerista_connivens,Oviparous,6,0.52,-0.45,64%,22.14,4607.9
Lerista desertorum,Lerista_desertorum,Oviparous,3,0.57,-0.28,43%,20.52,5900.5
Lerista frosti,Lerista_frosti,Oviparous,2.3,0.11,-0.84,25%,21.86,5996.5
Lerista lineopunctulata,Lerista_lineopunctulata,Oviparous,3.9,0.56,-0.36,47%,18.41,4342.7
Lerista planiventralis,Lerista_planiventralis,Oviparous,3,0.09,-0.63,57%,21.37,4007
Lerista punctatovittata,Lerista_punctatovittata,Oviparous,2.15,0.68,-0.28,24%,18.68,5652.2
Lerista uniduo,Lerista_uniduo,Oviparous,2.3,0.06,-0.59,51%,23.44,4775.5
Liasis fuscus,Liasis_fuscus,Oviparous,10.3,3.24,1.83,41%,25.65,264.7543
Liasis olivaceus,Liasis_olivaceus,Oviparous,15.9,3.54,1.88,35%,26.06,360.0006
Liolaemus bibronii,Liolaemus_bibronii,Oviparous,2.75,0.67,-0.25,34%,9.78,5309.3
Liolaemus boulengeri,Liolaemus_boulengeri,Oviparous,4.075,0.84,-0.35,26%,10.5,5378.1
Liolaemus chacoensis,Liolaemus_chacoensis,Oviparous,6.07,0.42,-0.87,32%,19.18,4589.3
Liolaemus gracilis,Liolaemus_gracilis,Oviparous,4.225,0.59,-0.43,41%,12.53,5764.5
Liolaemus koslowskyi,Liolaemus_koslowskyi,Oviparous,4.885,0.82,-0.52,22%,15.08,4473.7
Liolaemus lutzae,Liolaemus_lutzae,Oviparous,2.635,0.85,-0.19,24%,22.92,1838
Liolaemus multimaculatus,Liolaemus_multimaculatus,Oviparous,4.2,0.82,-0.20,39%,14.22,4542
Liolaemus olongasta,Liolaemus_olongasta,Oviparous,3.5,0.78,-0.30,30%,11.99,5321.6
Liolaemus riojanus,Liolaemus_riojanus,Oviparous,4.2,0.61,-0.20,66%,16.7,5406.9
Liolaemus rothi,Liolaemus_rothi,Oviparous,6.5,1.31,-0.25,18%,9.53,5620.5
Liolaemus wiegmannii,Liolaemus_wiegmannii,Oviparous,4.45,0.63,-0.65,24%,16.8,5016.3
Lipinia vittigera,Lipinia_vittigera,Oviparous,2.25,-0.02,-0.65,53%,25.43,1497.1
Lophognathus gilberti,Lophognathus_gilberti,Oviparous,5.4,1.29,-0.19,18%,27.22,2081.6
Lophosaurus boydii,Hypsilurus_boydii,Oviparous,3,2.15,0.25,4%,22.49,2539.1
Lophosaurus spinipes,Hypsilurus_spinipes,Oviparous,5,1.76,-0.06,8%,17.75,3711.1
Loxopholis rugiceps,Leposoma_rugiceps,Oviparous,2.085,0.11,-1.11,12%,24.42,321
Lycodon aulicus,Lycodon_aulicus,Oviparous,7,1.46,0.08,30%,24.35985,456.1697
Lygisaurus foliorum,Lygisaurus_foliorum,Oviparous,1.95,-0.16,-1.33,13%,19.07,3990
Lygophis anomalus,Lygophis_anomalus,Oviparous,7.3,1.53,0.31,43%,18.68,444.2481
Lygophis lineatus,Lygophis_lineatus,Oviparous,6.8,1.59,0.33,38%,24.51153,68.01318
Lygosoma bowringii,Lygosoma_bowringii,Oviparous,3.1,0.35,-0.82,21%,22.59,2536.7
Lygosoma corpulentum,Lygosoma_corpulentum,Oviparous,4.5,1.88,0.26,11%,25.36,1026.9
Lygosoma koratense,Lygosoma_koratense,Oviparous,3,1.28,-0.67,3%,25.52,1397.6
Lygosoma punctata,Lygosoma_punctata,Oviparous,4,1.08,-0.67,7%,24.25,4211.4
Lyriocephalus scutatus,Lyriocephalus_scutatus,Oviparous,3.665,1.99,0.51,12%,24.77,658.2
Masticophis flagellum,Coluber_flagellum,Oviparous,10.7,2.05,0.57,35%,17.65926,690.6879
Masticophis schotti,Coluber_schotti,Oviparous,8.3,2.68,1.04,19%,20.88687,436.3075
Mastigodryas bifossatus,Mastigodryas_bifossatus,Oviparous,13,2.52,0.98,37%,23.95,122.9294
Mastigodryas melanolomus,Mastigodryas_melanolomus,Oviparous,3.5,1.98,0.58,14%,24.46013,129.4973
Menetia greyii,Menetia_greyii,Oviparous,1.55,-0.27,-1.48,10%,21.65,5081
Meroles cuneirostris,Meroles_cuneirostris,Oviparous,2.9,0.44,-0.33,49%,16.78,3226
Meroles squamulosus,Meroles_squamulosus,Oviparous,4,0.62,-0.23,56%,21.47,3123.3
Meroles suborbitalis,Meroles_suborbitalis,Oviparous,4.595,0.69,-0.34,42%,17.95,4902.1
Mesalina bahaeldini,Mesalina_bahaeldini,Oviparous,4.25,0.26,-0.70,46%,17.94,5929.8
Mesalina brevirostris,Mesalina_brevirostris,Oviparous,3.9,0.34,-0.50,57%,21.64,7950.4
Mesalina guttulata,Mesalina_guttulata,Oviparous,4.6,0.35,-0.64,47%,23.59,6481.4
Mesalina olivieri,Mesalina_olivieri,Oviparous,3.7,0.21,-0.64,52%,20.27,6447.7
Mesalina rubropunctata,Mesalina_rubropunctata,Oviparous,4.5,0.43,-0.37,72%,23.57,6424.8
Mesalina watsonana,Mesalina_watsonana,Oviparous,2.5,0.40,-0.61,24%,17.11,8590.8
Micrablepharus maximiliani,Micrablepharus_maximiliani,Oviparous,2.25,0.14,-0.75,29%,24.26,1212
Microlophus atacamensis,Microlophus_atacamensis,Oviparous,4.5,1.40,0.41,46%,16.97,2175.6
Microlophus occipitalis,Microlophus_occipitalis,Oviparous,4,0.81,-0.01,60%,20.15,724.2
Microlophus quadrivittatus,Microlophus_quadrivittatus,Oviparous,3.16,1.35,0.50,45%,16.4,2007.1
Microlophus stolzmanni,Microlophus_stolzmanni,Oviparous,2.6,0.96,0.13,39%,16.12,545.6
Micruroides euryxanthus,Micruroides_euryxanthus,Oviparous,4,1.33,0.69,92%,20.64658,635.7166
Micrurus corallinus,Micrurus_corallinus,Oviparous,4.5,2.03,0.66,19%,21.35,208.2515
Micrurus fulvius,Micrurus_fulvius,Oviparous,6.5,2.12,0.67,23%,19.24,567.3309
Micrurus lemniscatus,Micrurus_lemniscatus,Oviparous,3.5,2.27,1.04,20%,23.9019,121.4806
Micrurus tener,Micrurus_tener,Oviparous,7,1.96,0.73,41%,20.64732,572.8373
Mochlus guineensis,Mochlus_guineensis,Oviparous,2.475,0.75,-0.56,12%,24.99,1017.5
Mochlus sundevalli,Mochlus_sundevalli,Oviparous,3.865,1.23,-0.67,5%,22.23,238.4191
Moloch horridus,Moloch_horridus,Oviparous,7.25,1.61,0.09,22%,22.02,5551.4
Morelia carinata,Morelia_carinata,Oviparous,11.2,3.26,1.79,38%,27.11,170.566
Morelia spilota,Morelia_spilota,Oviparous,16.2,3.21,1.51,32%,19.93,487.0335
Morelia viridis,Morelia_viridis,Oviparous,12.3,3.02,1.45,33%,23.81,46.35983
Morethia adelaidensis,Morethia_adelaidensis,Oviparous,3.3,0.33,-1.15,11%,18.87,5556.5
Morethia boulengeri,Morethia_boulengeri,Oviparous,3,0.28,-0.96,17%,21.18,4899.8
Morethia lineoocellata,Morethia_lineoocellata,Oviparous,2.75,0.25,-1.00,16%,19.41,3870.9
Morethia obscura,Morethia_obscura,Oviparous,3.05,0.33,-1.03,13%,17.58,4856.1
Morethia ruficauda,Morethia_ruficauda,Oviparous,2,-0.09,-1.00,25%,24.54,4965.5
