Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Apathya cappadocica,Apathya_cappadocica,Oviparous,5,0.86,-0.45,24%,12.77,9075.4
Archaeolacerta bedriagae,Archaeolacerta_bedriagae,Oviparous,4.5,0.92,-0.12,42%,13.71,5186.6
Aspidites melanocephalus,Aspidites_melanocephalus,Oviparous,7.8,3.28,1.62,17%,24.67,392.4929
Aspidites ramsayi,Aspidites_ramsayi,Oviparous,14.3,3.32,1.74,38%,22,596.0301
Aspidoscelis burti,Aspidoscelis_burti,Oviparous,4.33,1.50,-0.02,13%,20.66,5957.3
Aspidoscelis ceralbensis,Aspidoscelis_ceralbensis,Oviparous,2.5,0.86,-0.02,32%,23.25,3875.3
Aspidoscelis costatus,Aspidoscelis_costata,Oviparous,5.05,1.15,0.00,35%,20.94,3000.5
Aspidoscelis cozumelus,Aspidoscelis_cozumelae,Oviparous,1.75,0.86,-0.24,14%,24.75621,154.5476
Aspidoscelis deppii,Aspidoscelis_deppei,Oviparous,2.295,0.94,-0.13,20%,23.48,1337.1
Aspidoscelis exsanguis,Aspidoscelis_exsanguis,Oviparous,3.55,1.18,0.05,26%,14.53,7057.4
Aspidoscelis gularis,Aspidoscelis_gularis,Oviparous,3.69,1.13,-0.05,25%,18.41,5722.4
Aspidoscelis guttatus,Aspidoscelis_guttata,Oviparous,4.5,1.37,0.06,22%,23.01,1513.2
Aspidoscelis hyperythrus,Aspidoscelis_hyperythra,Oviparous,2.315,0.74,-0.27,22%,19.27,4666.5
Aspidoscelis inornatus,Aspidoscelis_inornata,Oviparous,2.65,0.66,-0.09,47%,16.68,6066.9
Aspidoscelis laredoensis,Aspidoscelis_laredoensis,Oviparous,3.4,1.05,-0.05,28%,22.27,5660.1
Aspidoscelis lineattissimus,Aspidoscelis_lineattissima,Oviparous,4.3,1.13,-0.05,28%,23.57,1649
Aspidoscelis marmoratus,Aspidoscelis_marmorata,Oviparous,2.65,1.16,0.04,20%,17.45,6554.3
Aspidoscelis neomexicanus,Aspidoscelis_neomexicana,Oviparous,1.945,0.94,0.01,23%,13.46,7757.5
Aspidoscelis parvisocius,Aspidoscelis_parvisocia,Oviparous,1.775,0.76,-0.20,20%,19.32,1779.4
Aspidoscelis scalaris,Aspidoscelis_scalaris,Oviparous,3.32,1.15,-0.05,21%,18.11,4281.1
Aspidoscelis sexlineatus,Aspidoscelis_sexlineata,Oviparous,3.7,0.93,-0.11,34%,14.69,7942.9
Aspidoscelis sonorae,Aspidoscelis_sonorae,Oviparous,3.9,1.19,-0.30,13%,16.56,6641.3
Aspidoscelis tesselatus,Aspidoscelis_tesselata,Oviparous,4.05,1.12,0.29,60%,15.56,7491.1
Aspidoscelis tigris,Aspidoscelis_tigris,Oviparous,2.7,1.19,-0.02,16%,14.68,7086.6
Aspidoscelis uniparens,Aspidoscelis_uniparens,Oviparous,3.02,0.85,-0.22,25%,15.22,7281.9
Aspidoscelis velox,Aspidoscelis_velox,Oviparous,4,1.07,0.06,39%,10.1,8436.9
